Date,Price,Open,High,Low,Vol.,Change %
2008/3/27,"1,670.10","1,687.90","1,687.90","1,658.80",212.17M,-1.12%
2008/3/26,"1,689.00","1,651.10","1,689.00","1,647.10",181.48M,2.28%
2008/3/25,"1,651.40","1,613.20","1,701.40","1,613.20",281.36M,2.45%
2008/3/20,"1,611.90","1,628.00","1,631.00","1,594.40",442.33M,-1.09%
2008/3/19,"1,629.60","1,545.40","1,641.10","1,545.40",248.69M,5.55%
2008/3/18,"1,543.90","1,506.70","1,551.10","1,506.50",178.55M,2.48%
2008/3/17,"1,506.50","1,588.60","1,589.20","1,498.40",123.56M,-5.22%
2008/3/14,"1,589.50","1,562.50","1,589.50","1,553.30",117.16M,1.71%
2008/3/13,"1,562.70","1,587.20","1,587.80","1,537.30",136.49M,-1.52%
2008/3/12,"1,586.90","1,560.30","1,633.30","1,560.30",169.88M,1.76%
2008/3/11,"1,559.50","1,583.30","1,584.10","1,544.50",144.97M,-1.60%
2008/3/10,"1,584.90","1,570.80","1,599.10","1,554.00",129.00M,0.88%
2008/3/7,"1,571.00","1,671.60","1,671.60","1,561.40",178.34M,-6.03%
2008/3/6,"1,671.80","1,636.40","1,671.80","1,617.00",158.85M,2.19%
2008/3/5,"1,635.90","1,614.80","1,650.30","1,614.70",229.90M,1.32%
2008/3/4,"1,614.60","1,629.40","1,633.90","1,588.30",192.51M,-0.89%
2008/3/3,"1,629.10","1,706.30","1,706.50","1,622.90",177.02M,-4.62%
2008/2/29,"1,708.00","1,750.70","1,750.70","1,671.80",218.82M,-2.46%
2008/2/28,"1,751.10","1,769.10","1,769.10","1,726.50",194.05M,-1.02%
2008/2/27,"1,769.20","1,737.90","1,780.50","1,709.10",105.52M,1.82%
2008/2/26,"1,737.60","1,710.90","1,756.20","1,710.50",131.51M,1.64%
2008/2/25,"1,709.50","1,727.90","1,758.10","1,699.50",98.53M,-0.98%
2008/2/22,"1,726.40","1,775.20","1,775.60","1,698.60",156.59M,-2.81%
2008/2/21,"1,776.30","1,791.30","1,832.20","1,770.00",181.31M,-0.78%
2008/2/20,"1,790.30","1,853.30","1,859.80","1,789.80",151.97M,-3.43%
2008/2/19,"1,853.90","1,812.20","1,854.60","1,812.20",131.91M,2.38%
2008/2/18,"1,810.80","1,805.60","1,825.90","1,798.80",139.24M,0.33%
2008/2/15,"1,804.80","1,828.00","1,828.10","1,773.30",94.22M,-1.32%
